time,open,close,high,low,volume
2021-11-10 01:00:00,1829.73,1829.34,1830.9,1829.18,6291
2021-11-10 02:00:00,1829.34,1827.59,1830.72,1827.27,14219
2021-11-10 03:00:00,1827.61,1827.13,1830.16,1826.87,10354
2021-11-10 04:00:00,1827.11,1827.03,1828.47,1825.98,7456
2021-11-10 05:00:00,1827.02,1826.36,1827.27,1825.75,5362
2021-11-10 06:00:00,1826.34,1825.63,1827.1,1824.18,8180
2021-11-10 07:00:00,1825.63,1826.34,1826.91,1823.99,11145
2021-11-10 08:00:00,1826.33,1824.07,1826.33,1822.88,15223
2021-11-10 09:00:00,1824.03,1825.44,1827.11,1823.0,17850
2021-11-10 10:00:00,1825.48,1825.04,1826.74,1824.63,13209
2021-11-10 11:00:00,1825.03,1824.7,1826.52,1824.43,8211
2021-11-10 12:00:00,1824.7,1824.44,1826.04,1822.64,13695
2021-11-10 13:00:00,1824.45,1826.44,1826.54,1824.23,14222
2021-11-10 14:00:00,1826.45,1849.62,1851.5,1822.26,65335
2021-11-10 15:00:00,1849.62,1861.51,1868.43,1849.2,67595
2021-11-10 16:00:00,1861.59,1851.38,1862.39,1851.15,46922
2021-11-10 17:00:00,1851.5,1854.74,1858.55,1851.5,29233
2021-11-10 18:00:00,1854.77,1849.52,1855.18,1848.14,22712
2021-11-10 19:00:00,1849.53,1846.47,1850.73,1841.32,40372
2021-11-10 20:00:00,1846.48,1847.01,1849.92,1844.38,18144
2021-11-10 21:00:00,1846.99,1852.51,1852.69,1845.25,14556
2021-11-10 22:00:00,1852.5,1848.89,1852.63,1848.49,6114
2021-11-11 00:00:00,1848.81,1848.26,1849.22,1847.98,4032
2021-11-11 01:00:00,1848.26,1850.08,1852.43,1847.75,8770
2021-11-11 02:00:00,1850.07,1845.36,1851.22,1845.06,20860
2021-11-11 03:00:00,1845.37,1844.14,1845.75,1842.8,11494
2021-11-11 04:00:00,1844.12,1849.85,1853.72,1843.54,15791
2021-11-11 05:00:00,1849.83,1849.1,1849.86,1846.79,6746
2021-11-11 06:00:00,1849.09,1853.65,1855.25,1848.75,15715
2021-11-11 07:00:00,1853.65,1852.04,1855.45,1851.9,15923
2021-11-11 08:00:00,1852.04,1856.8,1857.03,1851.6,11210
2021-11-11 09:00:00,1856.79,1861.43,1864.22,1855.07,21918
2021-11-11 10:00:00,1861.4,1861.91,1863.16,1860.21,16001
2021-11-11 11:00:00,1861.91,1862.67,1862.73,1860.07,12461
2021-11-11 12:00:00,1862.67,1863.76,1865.48,1861.97,12375
2021-11-11 13:00:00,1863.74,1858.39,1863.98,1854.73,27562
2021-11-11 14:00:00,1858.4,1863.35,1865.9,1856.43,36495
2021-11-11 15:00:00,1863.33,1859.82,1864.35,1859.4,32748
2021-11-11 16:00:00,1859.81,1861.63,1862.89,1858.88,22954
2021-11-11 17:00:00,1861.63,1862.06,1862.97,1859.67,13199
2021-11-11 18:00:00,1862.06,1862.22,1863.65,1861.37,8381
2021-11-11 19:00:00,1862.23,1862.1,1862.83,1860.35,7800
2021-11-11 20:00:00,1862.11,1862.03,1863.3,1861.82,5267
2021-11-11 21:00:00,1862.04,1862.53,1863.02,1861.59,5572
2021-11-11 22:00:00,1862.51,1861.98,1863.07,1861.74,2524
2021-11-12 00:00:00,1861.81,1862.27,1862.64,1861.04,5342
2021-11-12 01:00:00,1862.27,1859.97,1862.27,1859.39,6770
2021-11-12 02:00:00,1859.97,1859.12,1861.52,1857.71,13396
2021-11-12 03:00:00,1859.13,1856.84,1860.24,1855.59,10392
2021-11-12 04:00:00,1856.84,1855.13,1856.84,1855.04,8534
2021-11-12 05:00:00,1855.12,1857.26,1857.3,1855.12,5815
2021-11-12 06:00:00,1857.26,1859.74,1859.95,1856.28,10763
2021-11-12 07:00:00,1859.73,1857.73,1859.99,1857.27,11578
2021-11-12 08:00:00,1857.73,1856.34,1859.77,1855.49,14117
2021-11-12 09:00:00,1856.34,1853.19,1858.61,1852.25,22847
2021-11-12 10:00:00,1853.19,1853.04,1854.11,1849.42,17439
2021-11-12 11:00:00,1853.04,1846.12,1853.05,1845.61,17284
2021-11-12 12:00:00,1846.13,1849.13,1850.08,1845.18,16312
2021-11-12 13:00:00,1849.12,1853.35,1853.82,1848.99,16905
2021-11-12 14:00:00,1853.35,1854.35,1858.56,1853.35,31138
2021-11-12 15:00:00,1854.35,1858.41,1859.38,1853.81,27064
2021-11-12 16:00:00,1858.39,1860.77,1865.9,1858.38,42130
2021-11-12 17:00:00,1860.77,1863.55,1863.77,1859.69,19095
2021-11-12 18:00:00,1863.55,1864.67,1865.82,1861.58,12929
2021-11-12 19:00:00,1864.67,1867.82,1868.56,1863.98,15200
2021-11-12 20:00:00,1867.82,1863.64,1867.92,1863.64,10313
2021-11-12 21:00:00,1863.64,1865.74,1866.09,1862.48,9355
2021-11-12 22:00:00,1865.74,1864.35,1866.1,1863.77,3691
2021-11-15 00:00:00,1866.78,1865.44,1867.71,1865.16,8074
2021-11-15 01:00:00,1865.44,1863.75,1865.94,1863.45,7654
2021-11-15 01:00:00,1865.44,1863.75,1865.94,1863.45,7654
2021-11-15 02:00:00,1863.75,1860.39,1865.89,1857.15,29773
2021-11-15 03:00:00,1860.39,1859.52,1862.25,1858.63,15228
2021-11-15 04:00:00,1859.51,1856.83,1859.53,1856.39,8255
2021-11-15 05:00:00,1856.83,1858.95,1859.24,1856.52,5895
2021-11-15 06:00:00,1858.94,1858.86,1859.22,1856.85,9082
2021-11-15 07:00:00,1858.87,1857.21,1859.14,1856.88,9521
2021-11-15 08:00:00,1857.21,1860.84,1862.17,1856.29,12519
2021-11-15 09:00:00,1860.84,1858.47,1863.46,1858.43,13648
2021-11-15 10:00:00,1858.44,1862.26,1863.06,1858.29,9737
2021-11-15 11:00:00,1862.26,1863.09,1864.74,1861.66,10258
2021-11-15 12:00:00,1863.07,1864.42,1864.44,1862.46,7945
2021-11-15 13:00:00,1864.4,1863.79,1864.4,1860.55,10613
2021-11-15 14:00:00,1863.78,1864.18,1870.36,1862.27,36202
2021-11-15 15:00:00,1864.17,1860.52,1865.04,1859.6,31263
2021-11-15 16:00:00,1860.52,1861.92,1863.25,1858.1,26547
2021-11-15 17:00:00,1861.91,1863.36,1864.76,1859.93,15427
