time,open,close,high,low,volume
2021-11-12 01:00:00,1862.27,1855.13,1862.27,1855.04,39092
2021-11-12 05:00:00,1855.12,1856.34,1859.99,1855.12,42273
2021-11-12 09:00:00,1856.34,1849.13,1858.61,1845.18,73882
2021-11-12 13:00:00,1849.12,1860.77,1865.9,1848.99,117237
2021-11-12 17:00:00,1860.77,1863.64,1868.56,1859.69,57537
2021-11-12 21:00:00,1863.64,1864.35,1866.1,1862.48,13046
2021-11-14 21:00:00,1866.78,1865.44,1867.71,1865.16,8074
2021-11-15 01:00:00,1865.44,1856.83,1865.94,1856.39,60910
2021-11-15 05:00:00,1856.83,1860.84,1862.17,1856.29,37017
2021-11-15 09:00:00,1860.84,1864.42,1864.74,1858.29,41588
2021-11-15 13:00:00,1864.4,1861.92,1870.36,1858.1,104625
2021-11-15 17:00:00,1861.91,1867.03,1867.81,1859.93,41128
2021-11-15 21:00:00,1867.03,1862.31,1867.19,1861.54,18544
2021-11-16 01:00:00,1862.31,1866.89,1868.73,1861.81,41060
2021-11-16 05:00:00,1866.88,1863.86,1867.69,1862.15,42505
2021-11-16 09:00:00,1863.87,1873.87,1874.82,1863.79,65786
2021-11-16 13:00:00,1873.87,1861.09,1876.99,1856.46,147775
2021-11-16 17:00:00,1861.09,1851.49,1861.35,1849.61,69826
2021-11-16 21:00:00,1851.48,1850.24,1851.48,1849.57,18645
2021-11-17 01:00:00,1850.24,1853.57,1856.01,1849.46,44321
2021-11-17 01:00:00,1850.24,1853.57,1856.01,1849.46,44321
2021-11-17 05:00:00,1853.56,1856.13,1857.27,1851.95,35770
2021-11-17 09:00:00,1856.13,1861.61,1862.78,1855.72,50928
2021-11-17 13:00:00,1861.61,1862.78,1867.99,1859.94,97311
2021-11-17 17:00:00,1862.78,1863.86,1867.95,1862.25,51985
2021-11-17 21:00:00,1863.86,1866.44,1867.41,1862.69,16888
2021-11-18 01:00:00,1866.47,1864.91,1870.84,1864.09,39601
2021-11-18 05:00:00,1864.91,1868.55,1869.44,1862.54,37692
2021-11-18 09:00:00,1868.55,1862.74,1869.72,1858.69,61522
2021-11-18 13:00:00,1862.73,1860.01,1866.94,1855.06,128020
2021-11-18 17:00:00,1860.01,1858.79,1862.62,1858.16,39832
2021-11-18 21:00:00,1858.79,1859.71,1860.96,1856.69,15543
2021-11-19 01:00:00,1859.72,1863.19,1863.61,1858.71,24340
2021-11-19 05:00:00,1863.18,1857.58,1863.84,1856.13,25034
2021-11-19 09:00:00,1857.57,1861.73,1864.94,1851.66,76591
2021-11-19 13:00:00,1861.87,1860.47,1865.85,1852.05,105746
2021-11-19 17:00:00,1860.47,1849.58,1860.77,1843.14,83950
2021-11-19 21:00:00,1849.58,1846.1,1849.58,1845.35,14241
2021-11-21 21:00:00,1841.97,1844.89,1847.27,1841.48,10889
2021-11-22 01:00:00,1844.89,1847.09,1848.49,1844.06,43341
2021-11-22 01:00:00,1844.89,1847.09,1848.49,1844.06,43341
2021-11-22 05:00:00,1847.1,1843.96,1849.07,1840.18,40301
2021-11-22 09:00:00,1843.95,1842.56,1846.96,1837.23,61892
2021-11-22 13:00:00,1842.54,1818.33,1842.95,1811.43,152351
2021-11-22 17:00:00,1818.34,1803.63,1822.02,1802.16,91943
2021-11-22 21:00:00,1803.63,1808.92,1809.66,1802.83,28122
2021-11-23 01:00:00,1808.91,1808.31,1812.23,1806.49,38292
2021-11-23 05:00:00,1808.31,1807.58,1809.72,1802.76,47796
2021-11-23 09:00:00,1807.58,1793.92,1808.28,1792.61,84806
2021-11-23 13:00:00,1793.91,1786.23,1797.39,1784.16,151596
2021-11-23 17:00:00,1786.23,1788.15,1790.28,1781.89,65090
2021-11-23 21:00:00,1788.2,1790.78,1791.87,1787.65,23351
2021-11-24 01:00:00,1790.77,1793.56,1796.1,1788.94,40030
2021-11-24 05:00:00,1793.56,1794.04,1796.27,1791.82,34615
2021-11-24 09:00:00,1794.04,1787.2,1794.66,1785.46,59941
2021-11-24 13:00:00,1787.2,1784.54,1787.65,1778.4,124715
2021-11-24 17:00:00,1784.53,1784.83,1791.32,1782.45,54865
2021-11-24 21:00:00,1784.82,1789.52,1790.98,1784.54,19912
2021-11-25 01:00:00,1789.54,1792.01,1794.16,1789.14,26355
2021-11-25 05:00:00,1791.99,1793.24,1794.16,1791.33,20113
2021-11-25 09:00:00,1793.25,1790.69,1795.01,1789.8,31771
2021-11-25 13:00:00,1790.7,1788.44,1792.8,1787.79,39551
2021-11-25 17:00:00,1788.45,1788.45,1790.4,1787.97,10811
2021-11-25 21:00:00,1790.49,1792.52,1792.54,1790.27,4685
2021-11-26 01:00:00,1792.52,1796.9,1799.13,1789.86,40361
2021-11-26 05:00:00,1796.91,1807.83,1808.27,1795.12,53760
2021-11-26 09:00:00,1807.81,1811.63,1815.35,1797.61,117277
2021-11-26 13:00:00,1811.62,1797.51,1811.92,1795.25,116252
2021-11-26 17:00:00,1797.51,1790.19,1799.61,1780.11,59871
2021-11-28 21:00:00,1788.25,1795.2,1795.37,1777.06,14909
2021-11-29 01:00:00,1795.18,1794.3,1796.44,1789.77,52044
2021-11-29 05:00:00,1794.31,1794.64,1796.96,1791.09,50726
2021-11-29 09:00:00,1794.66,1793.37,1799.27,1792.73,71155
2021-11-29 13:00:00,1793.39,1786.96,1793.93,1784.21,107862
2021-11-29 17:00:00,1786.96,1782.5,1787.84,1781.01,56981
2021-11-29 21:00:00,1782.48,1786.74,1787.72,1781.94,24287
2021-11-30 01:00:00,1786.75,1788.81,1790.22,1782.99,33713
2021-11-30 05:00:00,1788.8,1791.66,1795.78,1787.89,63655
2021-11-30 09:00:00,1791.66,1792.32,1798.41,1791.47,78765
2021-11-30 13:00:00,1792.33,1784.47,1808.58,1783.3,126702
2021-11-30 17:00:00,1784.43,1776.07,1784.64,1769.89,125451
2021-11-30 21:00:00,1776.09,1773.3,1777.0,1770.92,31051
2021-12-01 01:00:00,1773.32,1777.97,1780.3,1772.57,54369
2021-12-01 05:00:00,1777.97,1784.73,1794.33,1777.3,62889
2021-12-01 09:00:00,1784.72,1784.99,1788.47,1776.52,69834
2021-12-01 13:00:00,1784.98,1785.93,1792.1,1782.55,110738
2021-12-01 17:00:00,1785.9,1782.07,1787.78,1779.14,76101
2021-12-01 21:00:00,1782.08,1781.71,1783.3,1777.24,27473
2021-12-02 01:00:00,1781.74,1779.26,1781.91,1779.01,35995
2021-12-02 01:00:00,1781.74,1779.26,1781.91,1779.01,35995
2021-12-02 05:00:00,1779.27,1775.1,1779.28,1774.9,38061
2021-12-02 09:00:00,1775.1,1777.15,1778.9,1767.38,63818
2021-12-02 13:00:00,1777.15,1767.15,1781.15,1763.24,123585
2021-12-02 17:00:00,1767.14,1766.61,1769.03,1761.7,67253
2021-12-02 21:00:00,1766.6,1768.94,1770.64,1766.17,21833
2021-12-03 01:00:00,1768.92,1773.43,1774.33,1767.54,37260
2021-12-03 05:00:00,1773.43,1770.95,1776.46,1770.34,34042
2021-12-03 09:00:00,1770.9,1772.03,1773.58,1766.19,52607
2021-12-03 13:00:00,1772.04,1770.88,1778.85,1766.59,138177
2021-12-03 17:00:00,1770.89,1783.82,1784.55,1769.89,77093
2021-12-03 21:00:00,1783.77,1783.31,1786.04,1781.82,19163
2021-12-05 21:00:00,1782.26,1782.9,1784.04,1780.7,7265
2021-12-06 01:00:00,1782.9,1783.93,1787.6,1782.16,38556
2021-12-06 05:00:00,1783.92,1782.87,1786.03,1780.95,39631
2021-12-06 09:00:00,1782.85,1779.96,1782.86,1777.76,62321
2021-12-06 13:00:00,1779.96,1778.13,1782.03,1775.65,82933
2021-12-06 17:00:00,1778.14,1778.34,1784.89,1777.58,38296
2021-12-06 21:00:00,1778.32,1780.88,1781.92,1777.93,13938
2021-12-07 01:00:00,1780.83,1777.56,1781.77,1777.36,25910
2021-12-07 01:00:00,1780.83,1777.56,1781.77,1777.36,25910
2021-12-07 05:00:00,1777.55,1782.61,1784.45,1776.78,30534
2021-12-07 09:00:00,1782.6,1782.21,1783.58,1777.35,47477
2021-12-07 13:00:00,1782.21,1782.47,1784.69,1772.25,97457
2021-12-07 17:00:00,1782.47,1784.78,1787.69,1781.88,40577
2021-12-07 21:00:00,1784.75,1784.65,1786.3,1783.48,14742
2021-12-08 01:00:00,1784.63,1787.92,1790.44,1784.41,30871
2021-12-08 05:00:00,1787.89,1789.74,1791.46,1786.51,28916
2021-12-08 09:00:00,1789.75,1786.64,1792.99,1782.78,62508
2021-12-08 13:00:00,1786.64,1782.5,1787.08,1779.61,105131
2021-12-08 17:00:00,1782.52,1785.64,1786.34,1781.1,42894
2021-12-08 21:00:00,1785.64,1783.51,1786.87,1782.27,16816
2021-12-09 01:00:00,1783.51,1784.5,1785.41,1782.2,27415
2021-12-09 05:00:00,1784.5,1786.15,1787.05,1783.25,30249
2021-12-09 09:00:00,1786.15,1780.21,1787.52,1779.29,54437
2021-12-09 13:00:00,1780.21,1779.5,1783.06,1773.73,106646
2021-12-09 17:00:00,1779.5,1776.04,1780.79,1773.24,44523
2021-12-09 21:00:00,1776.04,1776.33,1776.51,1774.69,13295
2021-12-10 01:00:00,1776.33,1778.46,1779.63,1775.57,25408
2021-12-10 05:00:00,1778.44,1772.94,1779.39,1771.35,37366
2021-12-10 09:00:00,1772.93,1772.06,1773.3,1770.02,39761
