symbol,date,entry_price,return_90d,return_180d,sp500_90d,sp500_180d,msci_90d,msci_180d,rsi,adx
AZN.L,2017-07-12,5192,-0.0348613251155624,-0.062788906009245,0.0582788877839456,0.0808841163153586,0.0620059823274347,0.0762104525533358,48.849928119627,26.66955069821
AZN.L,2017-11-01,5155,-0.0688651794374394,0.0841901066925315,0.0659542932983148,0.0882466439610039,0.0431947736737298,0.042845503915783,63.2177710220922,40.2942284462773
AZN.L,2018-06-14,5448,0.0892070484581498,0.153267254038179,-0.00956341532773441,0.00257320318653578,-0.0444051330749132,-0.0313707762751025,62.0944091575754,22.2710817111123
AZN.L,2019-09-20,7167,0.0735314636528534,0.150272080368355,0.0974542163412255,0.0718933241423721,0.0764235267145677,0.0391860018857935,54.0573220214523,26.7810349931719
AZN.L,2019-09-26,7379,0.0211410760265619,0.122238785743326,0.11991785727053,0.0298795572308133,0.097412467465378,-0.00695811041188361,62.1185183754521,25.0893675224977
AZN.L,2020-08-12,8699,-0.133003793539487,-0.149557420393149,0.0973448917854033,0.236904403710727,0.112617136378055,0.231911551940865,52.6658887904456,31.0684717123845
AZN.L,2022-04-27,10512,0.000190258751902588,0.110730593607306,-0.0659112472647702,-0.0441853829321663,-0.083917223031716,-0.030814639008216,61.3482726379168,26.7036386808507
AZN.L,2022-11-14,10868,0.0119617224880383,0.00294442399705558,0.00512477839329711,0.131601436643187,0.0185003101806767,0.119134881613807,61.4244842380348,28.8851910023501
AZN.L,2024-05-31,12190,-0.0311730926989336,-0.0185397867104184,0.0974948974588142,0.159167920328191,0.0767962848604566,0.12353303939754,58.5928860703997,33.622344008792
OR.PA,2017-10-26,187.899993896484,-0.0729111090646955,0.121873389564287,0.0697430382636379,0.0973090751395151,0.045571688868717,0.0481490227385629,59.871763678472,27.0053600141012
OR.PA,2020-07-15,291.100006103516,0.0807282703788174,0.11164548031113,0.110120392040248,0.245868678774727,0.114027866843235,0.242788983115986,63.2109704887482,25.801713870818
OR.PA,2021-05-05,346,0.138872797089505,0.156213837551933,0.0722576232328525,0.0756168789477581,0.0646700933793407,0.0397410242074415,60.2368516740409,29.4108188859927
OR.PA,2021-12-07,424.799987792969,-0.148658181994255,-0.143596990943722,-0.0629562188283459,-0.104044355430202,-0.0766542569412175,-0.133457226380983,62.4105530658612,27.9986246701755
OR.PA,2023-02-03,384.399993896484,0.0723205482621136,-0.00338186215819459,0.0570798999139587,0.0194755103310378,0.042396566081585,-0.00566978234177028,61.8388513847713,30.4795782750621
