symbol,date,entry_price,return_90d,return_180d,sp500_fwd_90d,sp500_fwd_180d,msci_fwd_90d,msci_fwd_180d,past_return_30d,past_return_90d,sp500_past_30d,sp500_past_90d,rel_strength_30d,rel_strength_90d,rsi,adx,di_plus,di_minus,macd,macd_signal,macd_hist,bb_pct,atr_pct,stoch_k,stoch_d,cci,volume_ratio,pct_from_ma20,pct_from_ma50,pct_from_ma200,pct_from_52w_high,pct_from_52w_low
AZN.L,2017-07-12,5192,-0.0348613251155624,-0.062788906009245,0.0582788877839456,0.0808841163153586,0.0620059823274347,0.0762104525533358,-0.00802445548337791,0.093743416894881,0.0125740657528741,0.0252315787101255,-0.020598521236252,0.0685118381847554,48.849928119627,26.66955069821,22.7605513087739,12.3355421912297,-0.432093313062976,-0.01195255400561,-0.420140759057366,0.372308064009911,2.4323629859329,27.1714922048998,17.165272176408,-52.9052322753826,1.443478097407,-1.22265301748703,0.433955984449588,9.55992449190246,-5.94202898550725,29.9299299299299
AZN.L,2017-11-01,5155,-0.0688651794374394,0.0841901066925315,0.0659542932983148,0.0882466439610039,0.0431947736737298,0.042845503915783,0.0848063973063973,-0.0389689714702106,0.0283545902562754,0.0575178388199668,0.0564518070501219,-0.0964868102901774,63.2177710220922,40.2942284462773,17.8715463769076,9.9113088652618,0.744796861970687,1.17475113594336,-0.429954273972671,0.656339475476287,2.59982156580693,61.7313258539434,32.6901614046794,4.04424454745596,1.77400993448212,0.65017474666615,5.10819721600906,6.32534555980272,-6.61231884057971,29.004004004004
AZN.L,2018-06-14,5448,0.0892070484581498,0.153267254038179,-0.00956341532773441,0.00257320318653578,-0.0444051330749132,-0.0313707762751025,0.0450796086706311,0.0818109610802224,0.0557050285928551,0.0504164125205598,-0.010625419922224,0.0313945485596626,62.0944091575754,22.2710817111123,23.8766075890373,15.6269411358024,0.833491959401211,1.13841871279192,-0.304926753390705,0.719509909497904,1.50345694369957,66.2162162162162,32.279408595198,13.0906545327259,1.24042896026392,0.942163919846593,4.50054379412933,9.06464752930436,-1.35795763172189,27.887323943662
AZN.L,2019-09-20,7167,0.0735314636528534,0.150272080368355,0.0974542163412255,0.0718933241423721,0.0764235267145677,0.0391860018857935,-0.008302200083022,0.231231747122488,0.0183724728833977,0.0556236257770736,-0.0266746729664197,0.175608121345414,54.0573220214523,26.7810349931719,24.6973712368998,20.0508966004574,-0.459425576010608,-0.255488613123751,-0.203936962886857,0.533656692376601,2.32634863908947,52.2236340533672,40.060034406342,5.70269427900031,2.0658093317469,0.415639774260445,1.97731321425822,14.1946946803027,-5.48595542661216,34.9209337349398
AZN.L,2019-09-26,7379,0.0211410760265619,0.122238785743326,0.11991785727053,0.0298795572308133,0.097412467465378,-0.00695811041188361,0.0151327555372128,0.257498295841854,0.0482362933255912,0.048372891513551,-0.0331035377883784,0.209125404328303,62.1185183754521,25.0893675224977,28.0904013056113,15.2303664198662,0.480216343005613,-0.0101854953457209,0.490401838351334,0.778062528060351,2.21156346645979,87.3809293893901,88.170088976274,83.8024555746599,1.30948728171076,3.4308600878889,3.92498486212776,17.0892843522078,-2.69022814189635,38.9118975903614
AZN.L,2020-08-12,8699,-0.133003793539487,-0.149557420393149,0.0973448917854033,0.236904403710727,0.112617136378055,0.231911551940865,0.0293456395692817,0.246275071633238,0.0903335026933279,0.358306805016133,-0.0609878631240462,-0.112031733382895,52.6658887904456,31.0684717123845,26.9265694062211,15.6466964755346,-0.411161447251907,-0.129059165128133,-0.282102282123774,0.494758364987212,2.85141290058263,59.5283340126368,25.2155602548648,-37.1152210961687,1.33107027407929,-0.0585930768258679,1.57019891365774,10.7664647174621,-14.0415019762846,48.1689661045819
AZN.L,2022-04-27,10512,0.000190258751902588,0.110730593607306,-0.0659112472647702,-0.0441853829321663,-0.083917223031716,-0.030814639008216,0.118773946360153,0.268339768339768,-0.0184143463919689,-0.103821852700787,0.137188292752122,0.372161621040555,61.3482726379168,26.7036386808507,36.3806131837154,21.5235706109131,2.0323232574599,2.71964662499105,-0.687323367531146,0.608217050140865,2.1945012072051,46.3736263736264,30.2625421393758,40.7340889998499,1.71843884442028,0.984677458091167,8.49461655327301,18.7432330081788,-4.43636363636364,61.7280580306335
AZN.L,2022-11-14,10868,0.0119617224880383,0.00294442399705558,0.00512477839329711,0.131601436643187,0.0185003101806767,0.119134881613807,0.108301040179482,-0.0123591421301345,0.0757986623480464,0.0148408513473071,0.0325023778314356,-0.0271999934774416,61.4244842380348,28.8851910023501,32.7949364183743,17.592721303008,2.13890356730371,1.44358857619822,0.695314991105486,0.814580823229034,2.46333579312592,69.0205148079159,70.7995967949649,82.8062687023065,1.20928790602271,5.51814867495498,6.82529915605261,6.98893292616898,-5.82322357019064,34.3333791016041
AZN.L,2024-05-31,12190,-0.0311730926989336,-0.0185397867104184,0.0974948974588142,0.159167920328191,0.0767962848604566,0.12353303939754,0.12226109372123,0.151085930122757,0.053159701265954,0.0848804957611395,0.069101392455276,0.0662054343616178,58.5928860703997,33.622344008792,22.839568770366,17.337871999206,1.41318666542136,2.06321585544467,-0.650029190023309,0.481396019786181,1.91246220245834,56.0810810810811,31.23016976241,-49.400697851952,1.90020739573048,-0.0811482061328342,6.38557833958207,13.7226585166983,-2.38629083920564,28.8447310009513
OR.PA,2017-10-26,187.899993896484,-0.0729111090646955,0.121873389564287,0.0697430382636379,0.0973090751395151,0.045571688868717,0.0481490227385629,0.0473801576877677,-0.00896630882017534,0.0259573901933661,0.0506230418024309,0.0214227674944016,-0.0595893506226062,59.871763678472,27.0053600141012,31.344901766061,19.2122971357472,0.853349961562833,1.00308995123855,-0.149739989675721,0.757220839292616,1.32334987199846,78.1914427356754,49.5332258322476,52.7553072865947,1.69698848553116,1.67473560652095,3.87815160489056,4.00119195422654,-4.69185913587033,20.0638938635683
