datetime,open,close,high,low,volume,ema_fast,ema_slow,ema_velocity,ema_acceleration,is_local_min_candidate,is_local_max_candidate,extrema_confirmed,extrema_type,confirmation_bar,atr,primary_signal,signal_bar,meta_label,exit_reason,bars_held,realized_pnl,profit_target,stop_loss
2025-01-02T01:00:00Z,2623.72,2625.68,2626.13,2622.69,791,2623.906,,,,FALSE,FALSE,FALSE,,,,1,5,,,,,,
2025-01-02T02:15:00Z,2629.51,2632.49,2632.87,2629.3,1861,2628.6564691358,2625.984,1.9167654320986,0.516617283950382,FALSE,FALSE,FALSE,,,,1,10,,,,,,
2025-01-02T03:30:00Z,2635.58,2633.36,2635.68,2632.62,1867,2633.3499054006,2631.0741619487,0.00504729969998152,-1.10752364985046,FALSE,FALSE,FALSE,,,2.7107388,-1,15,1,max_holding_positive,10,3.03794391955248e-05,2629.2938918,2636.0707388
2025-01-02T04:00:00Z,2634.68,2633.07,2635.27,2633.02,1593,2633.54329128916,2631.96749684169,-0.236645644577493,-0.666677177710881,FALSE,FALSE,FALSE,,,2.69249842799999,1,17,1,max_holding_positive,10,0.000679814816924717,2637.108747642,2630.377501572
2025-01-02T06:00:00Z,2633.9,2633.28,2634.23,2633.02,707,2633.09557423716,2632.80167064127,0.0922128814190728,-0.351106440708918,FALSE,FALSE,FALSE,,,2.04453503983058,1,25,1,profit_target,2,0.00116463215447885,2636.34680255975,2631.23546496017
2025-01-02T06:45:00Z,2634.85,2633.9,2635.27,2633.88,1444,2634.01424421842,2633.5556558208,-0.0571221092091037,-0.451438945394784,FALSE,FALSE,FALSE,,,1.96354604403651,-1,28,0,stop_loss,8,-0.000745489974576226,2630.95468093395,2635.86354604404
2025-01-02T07:30:00Z,2634.11,2634.1,2634.65,2633.29,1247,2633.73459087953,2633.52151246684,0.18270456023447,-0.10635228011688,FALSE,FALSE,FALSE,,,2.04748506610262,1,31,0,stop_loss,7,-0.000777299672033173,2637.17122759915,2632.0525149339
2025-01-02T09:45:00Z,2636.22,2636.38,2637.71,2635.33,1204,2635.37505718287,2634.83796762631,0.502471408567999,-0.161235704283627,FALSE,FALSE,FALSE,,,2.63282772632973,1,40,0,stop_loss,5,-0.000998652594212386,2640.3292415895,2633.74717227367
2025-01-02T10:30:00Z,2637.35,2637.1,2638.35,2636.62,1152,2636.80075768381,2636.02700105153,0.149621158094305,-0.194810579047044,FALSE,FALSE,FALSE,,,2.61136141249435,-1,43,1,profit_target,2,0.00148535972042827,2633.18295788126,2639.71136141249
2025-01-02T11:15:00Z,2638.83,2644.73,2646.18,2638.06,2196,2639.78578005446,2638.03130260448,2.47210997276852,1.71894501361567,FALSE,TRUE,TRUE,max,47,3.43208246970838,1,46,0,stop_loss,2,-0.00129770618161716,2649.87812370456,2641.29791753029
2025-01-02T11:30:00Z,2644.66,2643.97,2645.59,2643.1,1651,2641.18052003631,2639.1110657673,1.39473998184576,-1.07736999092276,FALSE,FALSE,FALSE,,,3.33787422273756,-1,47,1,profit_target,10,0.00189367176409198,2638.96318866589,2647.30787422274
2025-01-02T12:45:00Z,2642.01,2641.82,2642.5,2641.11,979,2642.03949235046,2641.13442737079,-0.109746175230157,-0.0351269123848397,FALSE,FALSE,FALSE,,,3.04549984978432,1,52,0,stop_loss,5,-0.00115280369207001,2646.38824977468,2638.77450015022
2025-01-02T14:00:00Z,2643.19,2638.5,2643.22,2638.26,2614,2641.42528294327,2641.46871960943,-1.46264147163538,-1.65367926418276,FALSE,FALSE,FALSE,,,3.23292880629913,-1,57,0,stop_loss,3,-0.00122529043255609,2633.65060679055,2641.7329288063
2025-01-02T14:30:00Z,2640.51,2639.1,2640.93,2637,2452,2640.49123686368,2640.92517593689,-0.695618431837829,-0.457190784080922,FALSE,FALSE,FALSE,,,3.46347233310228,1,59,1,profit_target,1,0.00196855310509389,2644.29520849965,2635.6365276669
2025-01-02T16:15:00Z,2648.5,2648.79,2649.53,2647.47,2207,2647.64475917629,2646.01883325731,0.572620411854132,-0.136310205926748,FALSE,FALSE,FALSE,,,3.92915874515863,1,66,1,profit_target,2,0.00222506809438949,2654.68373811774,2644.86084125484
2025-01-02T18:15:00Z,2659.05,2656.25,2659.88,2655.95,1717,2656.87492582672,2654.65029959992,-0.312462913361742,-1.25376854331944,FALSE,FALSE,FALSE,,,3.85179127747556,-1,74,1,max_holding_positive,10,0.000602352941176436,2650.47231308379,2660.10179127748
2025-01-02T19:00:00Z,2656.49,2656.61,2658.7,2655.86,1881,2656.2166446894,2655.15339474706,0.196677655299936,-0.0333388276508231,FALSE,FALSE,FALSE,,,3.74121584127967,1,77,1,max_holding_positive,10,0.000925992147887735,2662.22182376192,2652.86878415872
2025-01-02T21:30:00Z,2659.85,2659.07,2660.36,2658.75,1432,2657.72829165883,2656.72056709933,0.670854170587518,-0.730427085294195,FALSE,FALSE,FALSE,,,2.86771862706483,-1,87,0,max_holding_negative,10,-0.000567867713147741,2654.7684220594,2661.93771862707
2025-01-02T22:45:00Z,2657.95,2657.98,2658.41,2656.98,324,2658.1709684489,2657.77168193087,-0.0954842244491374,0.0727421122251144,FALSE,FALSE,FALSE,,,2.27375107209548,1,92,1,profit_target,9,0.00128316488767525,2661.39062660814,2655.70624892791
2025-01-03T02:15:00Z,2660.84,2658.7,2661.32,2658.01,1012,2659.63842218652,2659.35727184106,-0.469211093258764,-0.830394453370445,FALSE,FALSE,FALSE,,,2.19105386112899,-1,102,0,stop_loss,4,-0.000824107218237917,2655.41341920831,2660.89105386113
2025-01-03T03:15:00Z,2659.23,2659.27,2663.94,2658.6,1229,2659.11437969116,2659.07926784709,0.0778101544178753,-0.0139050772090741,FALSE,FALSE,FALSE,,,2.76859043828679,1,106,1,profit_target,3,0.00156166378646397,2663.42288565743,2656.50140956171
2025-01-03T04:30:00Z,2663.44,2662.39,2663.57,2661.94,1042,2662.2328812762,2661.33972000858,0.0785593618984422,-0.559279680949658,FALSE,FALSE,FALSE,,,2.70386306790399,-1,111,1,profit_target,9,0.0015233660740373,2658.33420539814,2665.0938630679
2025-01-03T05:15:00Z,2662.72,2663.98,2664.27,2662.57,493,2662.9304833411,2662.13819375376,0.524758329451743,0.347620835274483,FALSE,TRUE,TRUE,max,115,2.35441617650203,1,114,0,stop_loss,3,-0.000883796491153134,2667.51162426475,2661.6255838235
2025-01-03T05:30:00Z,2663.9,2662.21,2664.08,2661.94,605,2662.6903222274,2662.1512494349,-0.240161113698832,-0.764919443150575,FALSE,FALSE,FALSE,,,2.33297455885181,-1,115,1,profit_target,4,0.00131449503918831,2658.71053816172,2664.54297455885
2025-01-03T07:00:00Z,2658.44,2658.41,2660.01,2657.62,785,2659.49140003094,2660.36403739466,-0.540700015469156,0.220350007733941,FALSE,FALSE,FALSE,,,2.20224267253078,1,121,0,stop_loss,4,-0.000828405954134502,2661.7133640088,2656.20775732747
2025-01-03T08:00:00Z,2659.49,2656.04,2659.49,2655.55,1211,2658.08126420364,2659.00107023744,-1.02063210182132,-1.21968394908981,FALSE,FALSE,FALSE,,,2.36865941744745,-1,125,1,profit_target,1,0.00133770166344305,2652.48701087383,2658.40865941745
2025-01-03T08:30:00Z,2652.72,2654.79,2654.96,2652.48,1390,2655.79945075717,2657.30550982837,-0.504725378586954,1.27236268929391,FALSE,FALSE,FALSE,,,2.56801412813244,1,127,0,stop_loss,2,-0.000967313470418485,2658.6420211922,2652.22198587187
2025-01-03T10:00:00Z,2652.8,2654.47,2655.52,2652.69,1550,2653.73604231613,2654.61667579536,0.366978841934724,0.631510579032693,FALSE,FALSE,FALSE,,,2.79109512626877,1,133,1,profit_target,8,0.00157720474874571,2658.6566426894,2651.67890487373
2025-01-03T12:30:00Z,2656.84,2658.22,2658.38,2656.39,1264,2657.18590369577,2656.44509782364,0.517048152113603,0.436475923943817,FALSE,FALSE,FALSE,,,2.57673868562311,-1,143,1,profit_target,6,0.00145402112256881,2654.35489197157,2660.79673868562
2025-01-03T14:45:00Z,2645.52,2649.75,2651.3,2645.51,2027,2650.6129549709,2652.61740833877,-0.431477485450159,2.32573874272521,FALSE,FALSE,FALSE,,,3.72248159420926,1,152,0,stop_loss,2,-0.00140484256786831,2655.33372239131,2646.02751840579
2025-01-03T15:45:00Z,2650.71,2647.22,2650.71,2646.11,2428,2648.9437935745,2650.38525757193,-0.861896787249862,-1.32405160637609,FALSE,FALSE,FALSE,,,3.89261917396068,-1,156,1,profit_target,2,0.00220568323030996,2641.38107123906,2651.11261917396
2025-01-03T16:30:00Z,2642.3,2644.98,2646.04,2641.95,2656,2645.66630920726,2647.63040779109,-0.3431546036295,1.51657730181478,FALSE,FALSE,FALSE,,,4.09505937781734,1,159,0,stop_loss,3,-0.00154823831477648,2651.12258906673,2640.88494062218
2025-01-03T17:15:00Z,2643.42,2641.2,2643.43,2640.61,2348,2643.40927680215,2645.37342395169,-1.10463840107559,-0.577680799462542,FALSE,FALSE,FALSE,,,3.81668828642879,-1,162,0,max_holding_negative,10,-0.000253672573072873,2635.47496757036,2645.01668828643
2025-01-03T18:00:00Z,2639.81,2641.39,2642.57,2639.35,1255,2641.77200794138,2643.44612025604,-0.191003970689053,0.865501985344508,FALSE,FALSE,FALSE,,,3.60881576080662,1,165,0,max_holding_negative,10,-0.000181722502167426,2646.80322364121,2637.78118423919
2025-01-03T20:15:00Z,2641.87,2641.28,2642.04,2640.48,999,2641.48765981131,2641.75631442209,-0.103829905654038,-0.25308504717259,FALSE,FALSE,FALSE,,,2.4276352589026,-1,174,1,profit_target,5,0.00137866976933676,2637.63854711165,2643.7076352589
2025-01-03T22:45:00Z,2639.8,2639.51,2640.67,2639.12,618,2638.93755040131,2639.19366604657,0.286224799346201,-0.278112399673773,FALSE,FALSE,FALSE,,,1.98457851283201,1,184,1,profit_target,9,0.00112781075625711,2642.48686776925,2637.52542148717
2025-01-06T00:30:00Z,2641.67,2641.98,2642.16,2640.34,656,2640.86371863743,2640.28756014121,0.558140681287568,-0.129070340644375,FALSE,FALSE,FALSE,,,1.94249773585453,-1,187,1,profit_target,2,0.00110286474681181,2639.06625339622,2643.92249773585
2025-01-06T01:30:00Z,2639.3,2639.14,2639.87,2638.85,661,2639.52369957365,2639.73278823961,-0.191849786826424,0.00592489341306646,FALSE,FALSE,FALSE,,,1.91881178804478,1,192,1,profit_target,1,0.00109058923818642,2642.01821768207,2637.22118821196
2025-01-06T02:30:00Z,2645.49,2643.37,2645.53,2642.76,1453,2643.23122460714,2642.17535165905,0.0693876964292031,-1.0796938482149,FALSE,FALSE,FALSE,,,2.4293174141362,-1,196,1,profit_target,2,0.00137853426542788,2639.7260238788,2645.79931741414
2025-01-06T03:15:00Z,2643.62,2643.31,2644.29,2641.94,927,2643.06295543915,2642.49393791093,0.123522280423458,-0.221761140211584,FALSE,FALSE,FALSE,,,2.63975239490532,1,199,0,stop_loss,5,-0.000998654109773493,2647.26962859236,2640.67024760509
2025-01-06T04:15:00Z,2643.79,2642.12,2643.79,2640.77,1383,2643.21638625959,2643.01494751954,-0.548193129793162,-0.555903435104028,FALSE,FALSE,FALSE,,,2.50542454629735,-1,203,1,profit_target,3,0.00142239444818782,2638.36186318055,2644.6254245463
2025-01-06T08:45:00Z,2625.67,2626.79,2627.71,2625.41,1043,2628.77891366972,2630.84420957529,-0.994456834857374,1.05222841742898,FALSE,FALSE,FALSE,,,2.71589241539342,1,221,1,profit_target,4,0.00155088096996337,2630.86383862309,2624.07410758461
2025-01-06T10:30:00Z,2633.23,2633.73,2634.5,2632.47,1035,2632.52412937802,2631.78410551681,0.602935310991597,-0.0564676554954531,FALSE,FALSE,FALSE,,,2.9375686950162,-1,228,0,stop_loss,6,-0.00111536440524128,2629.32364695748,2636.66756869502
2025-01-06T11:45:00Z,2632.91,2633.69,2634.98,2632.16,1211,2632.89531744896,2632.42005095691,0.39734127552174,0.201329362239903,FALSE,FALSE,FALSE,,,2.68519783872014,1,233,1,profit_target,2,0.00152933593478354,2637.71779675808,2631.00480216128
