datetime,open,close,high,low,volume,rsi,ema_fast,ema_slow,ema_velocity,ema_acceleration,is_local_min_candidate,is_local_max_candidate,extrema_confirmed,extrema_type,confirmation_bar,atr,primary_signal,signal_bar,meta_label,exit_reason,bars_held,realized_pnl,profit_target,stop_loss
2019-02-22T03:45:00Z,1326.01,1326.13,1326.22,1325.74,1588,,1325.74238774577,1325.49546280992,0.19380612711484,-0.0319030635573654,FALSE,FALSE,FALSE,,,,-1,12,,,,,,
2019-02-22T04:30:00Z,1326.23,1325.64,1326.31,1325.62,1298,50,1325.84663340615,1325.68606490491,-0.103316703077098,-0.238341648461301,FALSE,FALSE,FALSE,,,0.792361111111117,-1,15,0,stop_loss,19,-0.000896579513794583,1324.05527777778,1326.82854166667
2019-02-22T18:15:00Z,1331.64,1330.77,1331.64,1330.64,3003,64.1523240167601,1330.8129377385,1330.18096808079,-0.021468869249702,-0.429265565375317,FALSE,FALSE,FALSE,,,1.4243609459843,-1,70,1,profit_target,10,0.00214065683173545,1327.92127810803,1332.90654141898
2019-02-25T04:15:00Z,1331.57,1331.62,1331.72,1331.32,2045,65.7545037803849,1331.18913239133,1330.63475961891,0.215433804336044,-0.0727169021679401,FALSE,FALSE,FALSE,,,0.886088397758552,-1,106,1,profit_target,15,0.00133084272954521,1329.84782320448,1332.94913259664
2019-02-25T14:30:00Z,1326.91,1330.38,1330.38,1326.91,5220,53.5881537900874,1329.29396559233,1329.4554378458,0.543017203835234,1.45849139808229,FALSE,FALSE,FALSE,,,1.39559550287464,1,147,0,stop_loss,9,-0.00157353031037138,1333.17119100575,1328.28660674569
2019-02-25T18:45:00Z,1325.68,1326.24,1326.53,1325.64,2971,35.3555002639122,1326.51192839301,1327.33826703432,-0.135964196506848,0.352982098253506,FALSE,FALSE,FALSE,,,1.36807440619136,1,164,1,max_holding_positive,20,0.000919893835203302,1328.97614881238,1324.18788839071
2019-02-26T04:15:00Z,1329.63,1329.08,1329.78,1328.9,1671,62.0295950020577,1329.03390761804,1328.59699612665,0.0230461909795849,-0.281523095489774,FALSE,FALSE,FALSE,,,0.70774964404704,-1,198,1,profit_target,11,0.00106502188588648,1327.66450071191,1330.14162446607
2019-02-26T10:00:00Z,1325.09,1324.98,1325.28,1324.74,1566,28.7028896478376,1325.13357842771,1325.72061864154,-0.0767892138521802,-0.0116053930737507,FALSE,FALSE,FALSE,,,0.839073922665507,1,221,1,profit_target,4,0.00126654579339391,1326.65814784533,1323.721389116
2019-02-26T14:00:00Z,1323.92,1325.84,1325.9,1323.8,4256,49.9702173318424,1324.99612062939,1325.16041147119,0.421939685303414,0.744030157348334,FALSE,FALSE,FALSE,,,1.06277280843839,1,237,0,stop_loss,8,-0.0012023767669233,1327.96554561688,1324.24584078734
2019-02-27T01:30:00Z,1329.79,1329.02,1329.81,1329,1334,57.2497890693146,1329.2972496535,1329.12012302728,-0.138624826749492,-0.320687586625354,FALSE,FALSE,FALSE,,,0.667910531477674,-1,280,1,profit_target,3,0.00100511735184974,1327.68417893704,1330.02186579722
2019-02-27T09:15:00Z,1325.83,1325.98,1326.31,1325.65,3021,35.3660275250305,1326.40366229034,1326.80016717982,-0.211831145168389,0.185915572584463,FALSE,FALSE,FALSE,,,0.695708075329241,1,298,1,profit_target,2,0.00104934927424125,1327.37141615066,1324.93643788701
2019-02-27T18:45:00Z,1318.14,1319.29,1320.13,1318.07,3729,31.9762599368776,1319.5757781319,1320.65462887801,-0.142889065951294,0.641444532975356,FALSE,FALSE,FALSE,,,1.57040819005759,1,336,1,max_holding_positive,20,0.00108391634894531,1322.43081638012,1316.93438771491
2019-02-27T20:45:00Z,1318.79,1319,1319.17,1318.25,1789,35.0846108358851,1318.93593037674,1319.32049411198,0.0320348116317746,0.0839825941839081,FALSE,FALSE,FALSE,,,1.2721941656186,1,344,0,max_holding_negative,20,-0.001243366186505,1321.54438833124,1317.09170875157
2019-02-28T02:45:00Z,1317.37,1318.27,1318.32,1317.3,2654,37.2600484640014,1318.8299932755,1319.38937908226,-0.279996637750401,0.594998318875241,FALSE,FALSE,FALSE,,,0.876336844629795,1,365,1,max_holding_positive,20,0.00123646900862502,1320.02267368926,1316.95549473306
2019-02-28T12:45:00Z,1326.33,1325.91,1326.44,1325.78,2277,69.139506903795,1325.82220911684,1325.25974886768,0.043895441581526,-0.23694772079034,FALSE,FALSE,FALSE,,,0.977709555494865,-1,405,1,profit_target,6,0.00147477514385563,1323.95458088901,1327.37656433324
2019-02-28T16:45:00Z,1315.06,1315.32,1315.57,1314.53,6759,27.2000702996235,1315.96245271729,1317.72798110994,-0.321226358642662,0.285613179321445,FALSE,FALSE,FALSE,,,1.74009455719686,1,421,0,stop_loss,20,-0.00198441583477426,1318.80018911439,1312.7098581642
2019-02-28T19:45:00Z,1313.78,1314.54,1314.57,1313.72,1718,33.7963057415122,1314.5011811402,1314.90890066453,0.0194094298990422,0.37529528505047,FALSE,FALSE,FALSE,,,1.34334363411884,1,433,0,stop_loss,9,-0.00153286735373455,1317.22668726824,1312.52498454882
2019-02-28T22:15:00Z,1312.77,1313.08,1313.13,1312.6,954,35.807089273987,1313.14878235851,1313.54073138351,-0.0343911792542713,0.187195589626981,FALSE,FALSE,FALSE,,,1.09822733628905,1,443,1,max_holding_positive,20,0.000121850915405064,1315.27645467258,1311.43265899557
2019-03-01T10:45:00Z,1306.61,1307.89,1307.96,1306.27,3245,35.3837053448766,1307.27616981162,1307.83402497148,0.306915094189208,0.491542452905605,FALSE,FALSE,FALSE,,,1.05263417064835,1,489,1,profit_target,2,0.00160966774063322,1309.9952683413,1306.31104874403
2019-03-01T20:30:00Z,1292.88,1294.42,1294.83,1292.34,4055,28.2001199754296,1294.88032111546,1296.71648836333,-0.230160557727686,0.890080278864161,FALSE,FALSE,FALSE,,,2.1051665492343,1,528,0,stop_loss,5,-0.00243950945122249,1298.63033309847,1291.26225017615
2019-03-01T22:00:00Z,1290.24,1291.44,1291.66,1290.22,2294,27.5107664316901,1291.94919142852,1293.35583706815,-0.254595714258585,0.722297857129433,FALSE,FALSE,FALSE,,,1.89081489958688,1,534,1,profit_target,4,0.00292822724956153,1295.22162979917,1288.60377765062
2019-03-04T10:00:00Z,1287.38,1287.56,1288.11,1286.3,4253,17.1218522063127,1288.77568094237,1290.29794655868,-0.607840471186364,0.388920235593332,FALSE,FALSE,FALSE,,,1.27949054672094,1,579,0,stop_loss,11,-0.00149059913330753,1290.11898109344,1285.64076417992
2019-03-04T13:00:00Z,1286.17,1286.56,1287.08,1286.04,3204,28.9327311491594,1286.89028462076,1287.36731277577,-0.165142310378769,0.272571155189326,FALSE,FALSE,FALSE,,,1.09675074311668,1,591,1,profit_target,1,0.00170493524299943,1288.75350148623,1284.91487388533
2019-03-05T22:00:00Z,1288.19,1287.48,1288.19,1287.45,1432,61.4593905942124,1287.44093070099,1286.78928975771,0.0195346495027025,-0.369767324751365,FALSE,FALSE,FALSE,,,1.08474583835768,-1,719,0,stop_loss,8,-0.00126380119111476,1285.31050832328,1289.10711875754
2019-03-06T01:30:00Z,1288.81,1288.5,1288.85,1288.03,2914,63.2575006703447,1288.38988116713,1288.03402338362,0.0550594164353697,-0.187529708217653,FALSE,FALSE,FALSE,,,0.867728444268369,-1,729,1,profit_target,2,0.00134688155881773,1286.76454311146,1289.8015926664
