meanImp,medianImp,minImp,maxImp,normHits,decision,feature
34.5034536590053,34.670186264153,27.5873296228018,36.9574029503233,1,Confirmed,clarity_gap
27.2655893082562,27.2215775386017,24.644521823549,32.4423529362951,1,Confirmed,atr_14_pct
19.8060913213444,19.7524243006475,17.7919261527766,22.2183288721063,1,Confirmed,atr_14
19.6209294550987,19.6578810552216,17.2584037560551,22.8264185706972,1,Confirmed,hour
18.8979083193777,19.5671072033456,8.76084779719451,22.3062990225817,1,Confirmed,dominant_prob
18.5485808474058,18.5154453738353,16.2804324226715,20.7177276005569,1,Confirmed,bb_bandwidth_20
16.6946513686554,17.1807492502137,8.82363097326491,20.5179349398727,1,Confirmed,pred_prob_short
12.42673974071,12.4073332964705,9.5441544507976,15.6132117284682,1,Confirmed,adx_14
12.0863097102568,12.0758228507618,9.30615215142148,14.3143531749346,1,Confirmed,choppiness_14
11.8145556104083,12.0407653661372,4.84772706469243,14.1718801004683,1,Confirmed,pred_prob_long
11.5314399649232,11.524808583207,7.53446765505438,14.0255144513442,1,Confirmed,vhf_28
10.3900537705474,10.3678071541992,8.3775206665263,12.711480322292,1,Confirmed,rsi_14_slope
10.0094078330429,9.98481580525701,8.00124955901163,13.1970984625705,1,Confirmed,volume_ratio
9.74282443855352,9.76254789844322,6.33644979236798,11.8044607655232,1,Confirmed,stoch_k_d_diff
9.53879403608164,10.0957260587105,4.13539091204748,13.4108019230953,1,Confirmed,stoch_k
9.15771621995595,9.29724409747998,5.55692562317988,11.5361706453259,1,Confirmed,aroon_oscillator
9.12706682128542,9.51281012872415,5.5544348878606,13.6280899245755,1,Confirmed,di_diff_14
8.78249099706841,8.68460866889796,4.28134423746032,12.4357421562337,1,Confirmed,roc_10
8.5577991748832,7.642371777076,3.68660360424555,14.6751939832008,1,Confirmed,momentum_10
7.22467156872918,7.1666595465345,5.76782986179751,9.75536072899824,1,Confirmed,ema_21_slope
7.2234385364245,7.27191770893053,4.60283591480477,11.6162447690501,1,Confirmed,dpo_20
6.84747087095381,6.1794989801731,3.61977027451318,15.0071430203758,0.97979797979798,Confirmed,rsi_14
6.61167121702641,5.71618861883152,3.05177028978929,12.2585078217774,0.97979797979798,Confirmed,donchian_position_20
6.50398179885074,6.24432849886336,3.88395746677287,11.5427943819175,0.98989898989899,Confirmed,kc_position_20
5.73413434116323,5.8123387139807,3.50599331645662,8.26442328239377,0.98989898989899,Confirmed,is_long
4.97769966272112,4.8212629356215,2.58812874551535,9.08274954328516,0.97979797979798,Confirmed,bb_pct_20
4.82809587755974,4.87078297214433,2.1122497162853,6.86347098144676,0.97979797979798,Confirmed,session_overlap
3.67530849470039,3.63544620996694,1.80848943102881,5.5198588939602,0.929292929292929,Confirmed,ichimoku_position
3.55966618424445,3.47828617179919,1.195790062644,6.09659174804567,0.858585858585859,Confirmed,day_of_week
2.73474545927521,2.68573650500678,-0.12484580708309,4.72235391870358,0.616161616161616,Tentative,obv_slope
