pred_bin,mean_pred,mean_pnl,median_pnl,q75_pnl,win_rate,total_pnl,n
1,0.0013399559167026,-0.000116599987031913,-0.000703170348349508,0.00118818199641746,0.457085828343313,-0.0584165935029885,501
2,0.00193030149917566,3.17395272458661e-05,0.000204556624231732,0.00161095610882917,0.518962075848303,0.0159015031501789,501
3,0.00244594125138473,-6.57789066230507e-05,-0.000195439161299823,0.00208273060226378,0.479041916167665,-0.0329552322181484,501
4,0.003025659263134,-1.64030441772586e-06,3.67238186849149e-05,0.00259547613377698,0.502,-0.000820152208862929,500
5,0.00375269631296396,2.04719906767572e-05,6.90065150747602e-05,0.00343606235691977,0.504,0.0102359953383786,500
