Strategy,Instrument,Symbol,Params,Param_period,Param_lower,Param_upper,Param_exit_mid,Param_atr_period,Param_sl_atr_mult,Param_tp_atr_mult,Cost_bps_side,Execution,Bars_per_Year,Bars_IS,Bars_OS,IS_Sharpe,IS_Sortino,IS_ProfitFactor,IS_Trades,OS_Sharpe,OS_Sortino,OS_Calmar,OS_CAGR,OS_MaxDD,OS_TotalReturn,OS_WinRate,OS_ProfitFactor,OS_Trades,OS_Exposure,Worst_Year_Ret,Yearly_Breakdown,Error,F1_OS_MaxDD_above_neg15,F2_OS_PF_gt_1.2,F3_OS_Sortino_gt_1.0,F4_OS_Calmar_gt_0.5,F5_IS_PF_gt_1.0,F6_OS_WinRate_band,F7_AllYearsProfitable,Active_Filters,PASSED_ALL,Param_entry_z,Param_exit_z,Param_ema_period,Param_mult,Param_cmo_period,Param_cmo_threshold,Param_vhf_period,Param_vhf_threshold,Param_stc_fast,Param_stc_slow,Param_stc_cycle,Param_stc_entry_long,Param_stc_entry_short,Param_lookback,Param_exit_n,Param_tenkan_n,Param_kijun_n,Param_senkou_b_n,Param_displacement,Param_cloud_filter,Param_fast,Param_slow,Param_min_session_bar,Param_flat_overnight,Param_signal,Param_trend_len,Param_session_start_h,Param_session_end_h,Param_or_bars,Param_last_entry_h,Param_bb_mult,Param_kc_mult,Param_ema_len,Param_rsi_len,Param_rsi_buy,Param_rsi_sell,Param_prev_close_h,Param_sess_start_h,Param_sess_start_m,Param_exit_h,Param_exit_m,Param_gap_thresh,Param_direction,Param_st_period,Param_st_mult,Param_or_candles,Param_gap_atr_mult,Param_atr_n,Param_adx_filter,Param_vol_lookback,Param_vol_threshold,Param_kc_length,Param_ma_fast_len,Param_ma_slow_len,Param_min_range,Param_breakout_window,Param_min_kc_dist_pct,Param_rsi_length,Param_div_lookback,Param_max_dtd_pct,Param_threshold,Param_exit_level
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=100, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=2.0",,,,,14,1.5,2.0,4.01,next_open,72576,171774,73618,-8.887,-3.486,0.678,2383,-3.856,-1.569,-0.962,-0.5307,-0.5515,-0.5357,0.4173,0.841,985,0.13,-0.5979,2023:-57.4% 2024:-56.4% 2025:-59.8% 2026:-22.4%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=100, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=3.0",,,,,14,1.5,3.0,4.01,next_open,72576,171774,73618,-8.14,-3.767,0.674,2383,-3.411,-1.584,-0.933,-0.5633,-0.6037,-0.5685,0.3401,0.831,985,0.182,-0.6227,2023:-58.7% 2024:-59.3% 2025:-62.3% 2026:-26.4%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=100, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=4.0",,,,,14,1.5,4.0,4.01,next_open,72576,171774,73618,-7.67,-3.914,0.67,2383,-3.333,-1.699,-0.929,-0.5964,-0.6422,-0.6017,0.2751,0.815,985,0.226,-0.6407,2023:-58.2% 2024:-64.1% 2025:-62.9% 2026:-29.5%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=100, atr_period=14, sl_atr_mult=2.0, tp_atr_mult=2.0",,,,,14,2.0,2.0,4.01,next_open,72576,171774,73618,-7.99,-3.5,0.697,2383,-3.013,-1.373,-0.965,-0.4812,-0.4987,-0.486,0.466,0.884,985,0.167,-0.5985,2023:-59.4% 2024:-55.3% 2025:-59.8% 2026:-11.5%,,False,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=100, atr_period=14, sl_atr_mult=2.0, tp_atr_mult=3.0",,,,,14,2.0,3.0,4.01,next_open,72576,171774,73618,-7.596,-3.916,0.681,2383,-2.556,-1.335,-0.93,-0.4986,-0.5362,-0.5036,0.3898,0.884,985,0.234,-0.6241,2023:-62.4% 2024:-59.8% 2025:-62.0% 2026:-13.7%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=100, atr_period=14, sl_atr_mult=2.0, tp_atr_mult=4.0",,,,,14,2.0,4.0,4.01,next_open,72576,171774,73618,-7.182,-4.068,0.679,2383,-2.647,-1.519,-0.931,-0.5565,-0.5979,-0.5617,0.3208,0.856,985,0.289,-0.6449,2023:-62.1% 2024:-64.5% 2025:-62.1% 2026:-23.0%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=100, atr_period=14, sl_atr_mult=2.5, tp_atr_mult=2.0",,,,,14,2.5,2.0,4.01,next_open,72576,171774,73618,-7.264,-3.394,0.714,2383,-2.664,-1.297,-0.962,-0.4651,-0.4837,-0.4699,0.5107,0.896,985,0.198,-0.6142,2023:-56.0% 2024:-54.5% 2025:-61.4% 2026:-10.2%,,False,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=100, atr_period=14, sl_atr_mult=2.5, tp_atr_mult=3.0",,,,,14,2.5,3.0,4.01,next_open,72576,171774,73618,-6.953,-3.834,0.699,2383,-2.142,-1.199,-0.919,-0.4619,-0.5026,-0.4666,0.4284,0.909,985,0.276,-0.6142,2023:-59.5% 2024:-60.5% 2025:-61.4% 2026:-11.8%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=100, atr_period=14, sl_atr_mult=2.5, tp_atr_mult=4.0",,,,,14,2.5,4.0,4.01,next_open,72576,171774,73618,-6.358,-3.858,0.713,2383,-2.257,-1.386,-0.916,-0.5227,-0.5709,-0.5277,0.3594,0.879,985,0.341,-0.6469,2023:-57.5% 2024:-64.7% 2025:-60.3% 2026:-21.2%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA_Crossover,SILVER_MINUTE_5,SILVER,"fast=20, slow=200, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2.0",,,,,10,1.5,2.0,4.01,next_open,72576,171774,73618,-7.295,-2.347,0.665,1583,-2.489,-0.835,-0.905,-0.3307,-0.3654,-0.3346,0.4339,0.902,643,0.086,-0.4866,2023:-38.0% 2024:-48.7% 2025:-44.1% 2026:-13.0%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,20.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
