Strategy,Instrument,Symbol,Params,Param_period,Param_lower,Param_upper,Param_exit_mid,Param_atr_period,Param_sl_atr_mult,Param_tp_atr_mult,Cost_bps_side,Execution,Bars_per_Year,Bars_IS,Bars_OS,IS_Sharpe,IS_Sortino,IS_ProfitFactor,IS_Trades,OS_Sharpe,OS_Sortino,OS_Calmar,OS_CAGR,OS_MaxDD,OS_TotalReturn,OS_WinRate,OS_ProfitFactor,OS_Trades,OS_Exposure,Worst_Year_Ret,Yearly_Breakdown,Error,F1_OS_MaxDD_above_neg15,F2_OS_PF_gt_1.2,F3_OS_Sortino_gt_1.0,F4_OS_Calmar_gt_0.5,F5_IS_PF_gt_1.0,F6_OS_WinRate_band,F7_AllYearsProfitable,Active_Filters,PASSED_ALL,Param_entry_z,Param_exit_z,Param_ema_period,Param_mult,Param_threshold,Param_exit_level,Param_cmo_period,Param_cmo_threshold,Param_vhf_period,Param_vhf_threshold,Param_stc_fast,Param_stc_slow,Param_stc_cycle,Param_stc_entry_long,Param_stc_entry_short,Param_lookback,Param_exit_n,Param_tenkan_n,Param_kijun_n,Param_senkou_b_n,Param_displacement,Param_cloud_filter,Param_min_session_bar,Param_flat_overnight,Param_fast,Param_slow,Param_st_period,Param_st_mult,Param_bb_mult,Param_kc_mult,Param_signal,Param_trend_len,Param_session_start_h,Param_session_end_h,Param_or_bars,Param_last_entry_h,Param_ema_len,Param_rsi_len,Param_rsi_buy,Param_rsi_sell,Param_prev_close_h,Param_sess_start_h,Param_sess_start_m,Param_exit_h,Param_exit_m,Param_gap_thresh,Param_direction,Param_or_candles,Param_gap_atr_mult,Param_atr_n,Param_adx_filter,Param_vol_lookback,Param_vol_threshold,Param_kc_length,Param_ma_fast_len,Param_ma_slow_len,Param_min_range,Param_breakout_window,Param_min_kc_dist_pct,Param_rsi_length,Param_div_lookback,Param_max_dtd_pct
Bollinger_ZScore_MR,GOLD_MINUTE_5,GOLD,"period=30, entry_z=2.0, exit_z=0.5, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2.0",30.0,,,,10,1.5,2.0,0.22,next_open,72576,99188,42510,-1.584,-0.76,0.956,3007,-0.727,-0.337,-0.52,-0.0793,-0.1527,-0.0473,0.5188,0.985,1280,0.182,-0.192,2024:-3.7% 2025:-19.2% 2026:+5.2%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger_ZScore_MR,GOLD_MINUTE_5,GOLD,"period=30, entry_z=2.0, exit_z=0.5, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=3.0",30.0,,,,10,1.5,3.0,0.22,next_open,72576,99188,42510,-1.689,-0.818,0.95,3007,-1.06,-0.497,-0.707,-0.1148,-0.1624,-0.069,0.5102,0.965,1280,0.188,-0.2122,2024:-3.9% 2025:-21.2% 2026:+4.4%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger_ZScore_MR,GOLD_MINUTE_5,GOLD,"period=30, entry_z=2.0, exit_z=0.5, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=2.0",30.0,,,,10,2.5,2.0,0.22,next_open,72576,99188,42510,-1.671,-0.898,0.942,3007,-0.82,-0.435,-0.552,-0.1035,-0.1874,-0.062,0.625,0.973,1280,0.255,-0.2397,2024:-3.4% 2025:-24.0% 2026:+5.7%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger_ZScore_MR,GOLD_MINUTE_5,GOLD,"period=30, entry_z=2.0, exit_z=0.5, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=3.0",30.0,,,,10,2.5,3.0,0.22,next_open,72576,99188,42510,-1.877,-1.018,0.932,3007,-1.045,-0.56,-0.674,-0.1313,-0.1949,-0.0791,0.6188,0.96,1280,0.263,-0.2624,2024:-4.2% 2025:-26.2% 2026:+5.0%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger_ZScore_MR,GOLD_MINUTE_5,GOLD,"period=30, entry_z=2.0, exit_z=0.5, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=2.0",30.0,,,,14,1.5,2.0,0.22,next_open,72576,99188,42510,-1.274,-0.606,0.974,3007,-0.523,-0.24,-0.38,-0.0571,-0.1505,-0.0339,0.5148,0.997,1280,0.177,-0.1854,2024:-1.1% 2025:-18.5% 2026:+6.6%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger_ZScore_MR,GOLD_MINUTE_5,GOLD,"period=30, entry_z=2.0, exit_z=0.5, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=3.0",30.0,,,,14,1.5,3.0,0.22,next_open,72576,99188,42510,-1.384,-0.667,0.967,3007,-1.007,-0.469,-0.642,-0.1087,-0.1693,-0.0652,0.5039,0.968,1280,0.185,-0.2071,2024:-1.8% 2025:-20.7% 2026:+5.4%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger_ZScore_MR,GOLD_MINUTE_5,GOLD,"period=30, entry_z=2.0, exit_z=0.5, atr_period=14, sl_atr_mult=2.5, tp_atr_mult=2.0",30.0,,,,14,2.5,2.0,0.22,next_open,72576,99188,42510,-1.652,-0.879,0.945,3007,-0.785,-0.411,-0.548,-0.098,-0.1789,-0.0586,0.6188,0.976,1280,0.247,-0.2462,2024:-2.5% 2025:-24.6% 2026:+6.6%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger_ZScore_MR,GOLD_MINUTE_5,GOLD,"period=30, entry_z=2.0, exit_z=0.5, atr_period=14, sl_atr_mult=2.5, tp_atr_mult=3.0",30.0,,,,14,2.5,3.0,0.22,next_open,72576,99188,42510,-1.815,-0.98,0.936,3007,-1.12,-0.595,-0.717,-0.1387,-0.1935,-0.0837,0.6117,0.956,1280,0.257,-0.2637,2024:-3.7% 2025:-26.4% 2026:+5.3%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger_ZScore_MR,GOLD_MINUTE_5,GOLD,"period=30, entry_z=2.5, exit_z=0.0, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2.0",30.0,,,,10,1.5,2.0,0.22,next_open,72576,99188,42510,-1.175,-0.454,0.952,1664,0.385,0.147,0.454,0.0408,-0.0898,0.0237,0.4939,1.053,733,0.128,-0.0716,2024:-2.8% 2025:-7.2% 2026:+2.8%,,True,False,False,False,False,True,False,"F1,F2,F5,F6",False,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger_ZScore_MR,GOLD_MINUTE_5,GOLD,"period=30, entry_z=2.5, exit_z=0.0, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=3.0",30.0,,,,10,1.5,3.0,0.22,next_open,72576,99188,42510,-1.212,-0.491,0.948,1664,0.181,0.073,0.237,0.0199,-0.0842,0.0116,0.4693,1.036,733,0.146,-0.0857,2024:-1.7% 2025:-8.6% 2026:+1.2%,,True,False,False,False,False,True,False,"F1,F2,F5,F6",False,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger_ZScore_MR,GOLD_MINUTE_5,GOLD,"period=30, entry_z=2.5, exit_z=0.0, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=2.0",30.0,,,,10,2.5,2.0,0.22,next_open,72576,99188,42510,-1.42,-0.629,0.928,1664,-0.192,-0.083,-0.229,-0.0234,-0.102,-0.0138,0.5962,1.003,733,0.182,-0.1188,2024:-2.1% 2025:-11.9% 2026:-1.0%,,True,False,False,False,False,True,False,"F1,F2,F5,F6",False,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger_ZScore_MR,GOLD_MINUTE_5,GOLD,"period=30, entry_z=2.5, exit_z=0.0, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=3.0",30.0,,,,10,2.5,3.0,0.22,next_open,72576,99188,42510,-1.484,-0.688,0.923,1664,-0.445,-0.203,-0.533,-0.0563,-0.1057,-0.0333,0.573,0.982,733,0.205,-0.129,2024:-2.2% 2025:-12.9% 2026:-3.0%,,True,False,False,False,False,True,False,"F1,F2,F5,F6",False,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger_ZScore_MR,GOLD_MINUTE_5,GOLD,"period=30, entry_z=2.5, exit_z=0.0, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=2.0",30.0,,,,14,1.5,2.0,0.22,next_open,72576,99188,42510,-1.355,-0.507,0.942,1664,0.845,0.324,0.96,0.0855,-0.0891,0.0492,0.4843,1.091,733,0.119,-0.0998,2024:-3.2% 2025:-10.0% 2026:+8.1%,,True,False,False,True,False,True,False,"F1,F2,F5,F6",False,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger_ZScore_MR,GOLD_MINUTE_5,GOLD,"period=30, entry_z=2.5, exit_z=0.0, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=3.0",30.0,,,,14,1.5,3.0,0.22,next_open,72576,99188,42510,-1.185,-0.472,0.951,1664,-0.064,-0.026,-0.072,-0.0067,-0.0942,-0.004,0.4502,1.017,733,0.141,-0.1044,2024:-2.6% 2025:-10.4% 2026:+3.2%,,True,False,False,False,False,True,False,"F1,F2,F5,F6",False,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
