datetime,close,signal,pred_prob_long,pred_prob_short,bars_to_exit,entry_price,exit_price,log_return_calculated,pnl,cumulative_pnl,drawdown
2025-01-02T02:00:00Z,2629.54,1,0.664920628070831,0.557579159736633,2,2629.54,2632.04,0.000950284966923893,0.000950284966923893,0.000950284966923893,0
2025-01-02T02:30:00Z,2633.43,-1,0.619350254535675,0.661233007907867,6,2633.43,2636.38,0.00111958507352064,-0.00111958507352064,-0.000169300106596747,-0.00111958507352064
2025-01-02T05:30:00Z,2632.04,-1,0.48421123623848,0.680845737457275,3,2632.04,2635.04,0.0011391512277833,-0.0011391512277833,-0.00130845133438005,-0.00225873630130394
2025-01-02T06:15:00Z,2634.84,-1,0.544482707977295,0.61688631772995,3,2634.84,2633.19,-0.000626420143376293,0.000626420143376293,-0.000682031191003754,-0.00163231615792765
2025-01-02T07:30:00Z,2634.1,1,0.735826253890991,0.614131689071655,6,2634.1,2640.71,0.00250625272188024,0.00250625272188024,0.00182422153087649,0
2025-01-02T09:00:00Z,2635.04,1,0.799854099750519,0.678086698055267,1,2635.04,2633.19,-0.00070232320002876,-0.00070232320002876,0.00112189833084773,-0.00070232320002876
2025-01-02T09:15:00Z,2633.19,1,0.62221360206604,0.554456293582916,2,2633.19,2644.73,0.00437294176098918,0.00437294176098918,0.0054948400918369,0
2025-01-02T09:45:00Z,2636.38,0,0.47173336148262,0.416650921106339,6,2636.38,2653.99,0.00665740394001134,0,0.0054948400918369,0
2025-01-02T11:15:00Z,2644.73,0,0.487109541893005,0.368675708770752,6,2644.73,2659.07,0.00540745689599457,0,0.0054948400918369,0
2025-01-02T12:45:00Z,2641.82,1,0.544832587242127,0.282513558864594,6,2641.82,2653.62,0.00445667197848959,0.00445667197848959,0.00995151207032649,0
2025-01-02T14:15:00Z,2640.71,1,0.848633646965027,0.768673837184906,2,2640.71,2648.91,0.00310041423338044,0.00310041423338044,0.0130519263037069,0
2025-01-02T14:45:00Z,2642.88,1,0.728881120681763,0.577631175518036,3,2642.88,2659.07,0.00610720596050117,0.00610720596050117,0.0191591322642081,0
2025-01-02T15:30:00Z,2648.91,0,0.498977243900299,0.414634168148041,5,2648.91,2656.89,0.00300803121756807,0,0.0191591322642081,0
