combination_id,max_depth,eta,gamma,lambda,min_child_weight,train_auc,train_precision,train_recall,train_f1,test_auc,test_precision,test_recall,test_f1,rank_train_auc,rank_train_precision,rank_test_auc,rank_test_precision,avg_rank
1,3,0.1,0.1,1.5,10,0.922116959121384,0.856534954407295,0.822533566841798,0.839189994044074,0.680391278375149,0.788381742738589,0.510752688172043,0.619902120717781,6,7,9,9,7.75
2,4,0.1,0.1,1.5,10,0.930610910829362,0.878378378378378,0.834792761237595,0.856031128404669,0.72389486260454,0.838709677419355,0.559139784946237,0.670967741935484,3,2,7,7,4.75
3,5,0.1,0.1,1.5,10,0.933507001188682,0.880587875076546,0.839462930531232,0.859533771667663,0.743488649940263,0.849056603773585,0.604838709677419,0.706436420722135,1,1,4,5,2.75
4,3,0.1,0.1,1.5,15,0.911923322714877,0.847230675593427,0.81260945709282,0.829558998808105,0.683482676224612,0.818930041152263,0.53494623655914,0.647154471544715,9,9,8,8,8.5
5,4,0.1,0.1,1.5,15,0.93195895064288,0.874393203883495,0.841214244016346,0.85748289199643,0.739934289127838,0.845283018867925,0.602150537634409,0.703296703296703,2,3,5,6,4
6,5,0.1,0.1,1.5,15,0.922758660220792,0.86031175059952,0.837711617046118,0.848861283643892,0.755406212664277,0.855513307984791,0.604838709677419,0.708661417322835,5,5,2,3,3.75
7,3,0.1,0.1,1.5,20,0.922946678439656,0.860975609756098,0.824284880326912,0.842230838055473,0.72686678614098,0.864864864864865,0.602150537634409,0.709984152139461,4,4,6,1,3.75
8,4,0.1,0.1,1.5,20,0.917091486209829,0.856793145654835,0.817279626386456,0.836570062742755,0.746400836320191,0.859205776173285,0.639784946236559,0.733436055469954,7,6,3,2,4.5
9,5,0.1,0.1,1.5,20,0.915514165800766,0.852657004830918,0.824284880326912,0.838230929059068,0.765232974910394,0.854609929078014,0.647849462365591,0.737003058103976,8,8,1,4,5.25
