meanImp,medianImp,minImp,maxImp,normHits,decision,feature
34.3663964284008,34.0412040474867,32.2578601420642,38.1150441862151,1,Confirmed,clarity_gap
28.5832148415938,28.4591341178131,26.5589919496385,31.185654952289,1,Confirmed,hour
27.6967989703137,27.6901945839478,25.4613286823735,30.4553368423447,1,Confirmed,dominant_prob
16.4322461114559,16.5217848728672,14.2736491488909,18.559629562334,1,Confirmed,pred_prob_short
14.6909992561753,14.8912727932501,11.6826079065362,16.2484682934601,1,Confirmed,pred_prob_long
14.3204938002281,14.2459996234135,13.2559425680927,15.9584042698489,1,Confirmed,bb_bandwidth_20
13.994107331171,14.0570781470992,12.2737964123303,15.106426502165,1,Confirmed,rsi_14_slope
13.8728791093853,14.2043520219851,11.2324488854173,14.9506380078571,1,Confirmed,volume_ratio
13.386260539693,13.1843905095598,11.6688494413128,15.7838194779346,1,Confirmed,obv_slope
12.7048984331787,12.8224063063104,10.948179483672,15.3224640118285,1,Confirmed,ema_21_slope
12.3836673863768,12.1587796820721,11.3438023163788,14.4634458317317,1,Confirmed,dpo_20
12.37764937556,12.4064920149353,10.2103009939938,13.865631471076,1,Confirmed,atr_14_pct
11.8086042424025,12.0335845037127,9.60834004764189,13.5009734676256,1,Confirmed,vhf_28
11.7998980947138,11.8512068408162,10.4753128119828,13.3825795757015,1,Confirmed,rsi_14
11.7578086511069,11.8722756253038,9.80995490745537,13.2202196298518,1,Confirmed,di_diff_14
11.7360458551122,11.5501066500067,10.3201912836139,13.0297087566951,1,Confirmed,kc_position_20
11.3244345025805,11.2824492674265,9.94124930350764,13.590564381779,1,Confirmed,stoch_k
10.9978353915385,10.8460721960623,9.50816854649194,13.6436493818592,1,Confirmed,bb_pct_20
10.9932221753545,11.1799325249555,9.4555482664997,12.2461331879795,1,Confirmed,stoch_k_d_diff
10.9009033837557,11.3292062406228,8.64650602962025,12.2478570889318,1,Confirmed,atr_14
10.8410528085975,11.0649133978185,9.15530253806433,11.9025770788451,1,Confirmed,donchian_position_20
10.6025277574982,10.7715317601382,8.568036211977,11.7295656338756,1,Confirmed,choppiness_14
10.1552155175613,10.4169589548967,8.82237644435922,11.7155986575402,1,Confirmed,momentum_10
9.96888112536475,9.99147305957534,8.615096028337,11.2530987358347,1,Confirmed,adx_14
9.49089285251247,9.47014018928271,8.02986066855631,10.6513717168518,1,Confirmed,aroon_oscillator
9.3835924829333,9.48831520700814,7.29201245725253,11.2232574450963,1,Confirmed,roc_10
8.30075650968526,8.34117110603064,7.19519508354841,9.53618477436301,1,Confirmed,session_overlap
7.46324432123685,7.45797869494893,6.30465199360617,8.39067963039524,1,Confirmed,is_long
5.60071819629934,5.58819176903378,4.35568360958363,7.46306487852749,1,Confirmed,day_of_week
3.64502253710706,3.63369792778538,2.27286658454471,5.88353929262475,0.9375,Confirmed,ichimoku_position
