pred_bin,mean_pred,mean_pnl_risk_adj,mean_pnl_raw,median_pnl_risk_adj,q75_pnl_risk_adj,win_rate,total_pnl_raw,n
1,0.000614813181567945,-3.09238295581273e-05,-8.49981019242864e-05,-0.000172556608608026,0.000402215189420643,0.461077844311377,-0.0425840490640675,501
2,0.00068586016668215,-1.35931386271943e-05,-5.29037084457729e-05,-5.82896026264828e-05,0.000429750523417533,0.487025948103792,-0.0265047579313322,501
3,0.000733509010536793,6.77999973861086e-06,3.77713722917588e-05,2.19491629143043e-05,0.000403347437826852,0.51497005988024,0.0189234575181712,501
4,0.000782051086192951,9.44232931201729e-06,6.54544464392023e-05,5.35300758111104e-05,0.00038169889311604,0.522,0.0327272232196012,500
5,0.000880500786588527,-1.81906880422017e-05,-9.72327063676296e-05,-4.06739157106049e-05,0.000458026841581145,0.476,-0.0486163531838148,500
